Rank,Reservoir_ID,Name,Latitude,Longitude,Confidence_Percent,Peak_Probability,Mean_Probability,Area_Hectares,Area_Sq_Km,Pixel_Count,SWIR_Alteration_Ratio,NDVI,Classification_Tier,Exploration_Recommendation
1,MN-RES-01,Manganese Reservoir 01 (Tier 1),21.8436,80.15719,81.2,0.8121,0.7127,0.63,0.0063,7,1.395,0.383,Tier 1: High-Confidence Primary Manganese Ore Body,Priority 1 Core Drilling Target (MOIL / Geological Survey)
2,MN-RES-02,Manganese Reservoir 02 (Tier 1),21.89122,80.13642,81.2,0.8121,0.7104,0.36,0.0036,4,1.447,0.392,Tier 1: High-Confidence Primary Manganese Ore Body,Priority 1 Core Drilling Target (MOIL / Geological Survey)
3,MN-RES-03,Manganese Reservoir 03 (Tier 1),21.86254,80.15511,79.9,0.7987,0.6938,1.35,0.0135,15,1.426,0.386,Tier 1: High-Confidence Primary Manganese Ore Body,Priority 1 Core Drilling Target (MOIL / Geological Survey)
4,MN-RES-04,Manganese Reservoir 04 (Tier 1),21.8789,80.13831,79.6,0.7963,0.7171,0.36,0.0036,4,1.4,0.373,Tier 1: High-Confidence Primary Manganese Ore Body,Priority 1 Core Drilling Target (MOIL / Geological Survey)
5,MN-RES-05,Manganese Reservoir 05 (Tier 1),21.8474,80.13502,79.1,0.7912,0.7248,0.63,0.0063,7,1.343,0.371,Tier 1: High-Confidence Primary Manganese Ore Body,Priority 1 Core Drilling Target (MOIL / Geological Survey)
6,MN-RES-06,Manganese Reservoir 06 (Tier 1),21.89317,80.13321,78.5,0.7854,0.7249,0.36,0.0036,4,1.419,0.38,Tier 1: High-Confidence Primary Manganese Ore Body,Priority 1 Core Drilling Target (MOIL / Geological Survey)
7,MN-RES-07,Manganese Reservoir 07 (Tier 1),21.84594,80.22268,78.3,0.783,0.704,0.45,0.0045,5,1.422,0.374,Tier 1: High-Confidence Primary Manganese Ore Body,Priority 1 Core Drilling Target (MOIL / Geological Survey)
8,MN-RES-08,Manganese Reservoir 08 (Tier 1),21.8346,80.23749,78.1,0.7812,0.7001,0.72,0.0072,8,1.376,0.38,Tier 1: High-Confidence Primary Manganese Ore Body,Priority 1 Core Drilling Target (MOIL / Geological Survey)
9,MN-RES-09,Manganese Reservoir 09 (Tier 1),21.86229,80.15359,77.6,0.7761,0.6961,0.99,0.0099,11,1.377,0.362,Tier 1: High-Confidence Primary Manganese Ore Body,Priority 1 Core Drilling Target (MOIL / Geological Survey)
10,MN-RES-10,Manganese Reservoir 10 (Tier 1),21.89054,80.13796,77.0,0.7699,0.7198,0.63,0.0063,7,1.414,0.383,Tier 1: High-Confidence Primary Manganese Ore Body,Priority 1 Core Drilling Target (MOIL / Geological Survey)
11,MN-RES-11,Manganese Reservoir 11 (Tier 1),21.89681,80.13788,76.8,0.7684,0.686,0.54,0.0054,6,1.423,0.341,Tier 1: High-Confidence Primary Manganese Ore Body,Priority 1 Core Drilling Target (MOIL / Geological Survey)
12,MN-RES-12,Manganese Reservoir 12 (Tier 1),21.84159,80.16033,76.8,0.7684,0.7109,0.54,0.0054,6,1.418,0.38,Tier 1: High-Confidence Primary Manganese Ore Body,Priority 1 Core Drilling Target (MOIL / Geological Survey)
13,MN-RES-13,Manganese Reservoir 13 (Tier 1),21.8941,80.12979,76.8,0.7684,0.7027,0.36,0.0036,4,1.426,0.382,Tier 1: High-Confidence Primary Manganese Ore Body,Priority 1 Core Drilling Target (MOIL / Geological Survey)
14,MN-RES-14,Manganese Reservoir 14 (Tier 1),21.8529,80.15421,76.2,0.7621,0.7098,0.36,0.0036,4,1.409,0.389,Tier 1: High-Confidence Primary Manganese Ore Body,Priority 1 Core Drilling Target (MOIL / Geological Survey)
15,MN-RES-15,Manganese Reservoir 15 (Tier 1),21.84844,80.14335,75.7,0.7567,0.722,0.36,0.0036,4,1.395,0.364,Tier 1: High-Confidence Primary Manganese Ore Body,Priority 1 Core Drilling Target (MOIL / Geological Survey)
16,MN-RES-16,Manganese Reservoir 16 (Tier 1),21.88249,80.1915,75.4,0.7536,0.7251,0.54,0.0054,6,1.379,0.362,Tier 1: High-Confidence Primary Manganese Ore Body,Priority 1 Core Drilling Target (MOIL / Geological Survey)
17,MN-RES-17,Manganese Reservoir 17 (Tier 1),21.83578,80.16557,75.1,0.7511,0.7,0.63,0.0063,7,1.443,0.38,Tier 1: High-Confidence Primary Manganese Ore Body,Priority 1 Core Drilling Target (MOIL / Geological Survey)
18,MN-RES-18,Manganese Reservoir 18 (Tier 2),21.83304,80.24064,74.7,0.7465,0.6915,0.54,0.0054,6,1.413,0.384,Tier 2: Prospective Hydrothermal Alteration Halo,Detailed Surface Trenching & Geophysical Profiling
