Name,Latitude,Longitude,Category,Label
MOIL Bharweli Balaghat Mine,21.8988,80.2078,Active Manganese Mine,1
Bharweli North Extension Horizon,21.915,80.215,Manganese Prospect,1
Hirapur Manganese Occurrence,21.875,80.125,Manganese Float Ore,1
Sausar Manganiferous Ridge,21.882,80.195,Gondite Manganese Horizon,1
MOIL Ramrama Mine,21.85,79.9167,Open Cast Manganese Mine,1
MOIL Miragpur Deposit,21.78,79.88,Manganese Prospect,1
MOIL Tirodi Mine,21.6883,79.7042,Manganese Mine,1
MOIL Sitapatore Mine,21.7167,79.7333,Manganese Mine,1
MOIL Sukli Mine,21.65,79.7667,Manganese Mine,1
MOIL Ukwa Mine,21.9667,80.4667,Underground Manganese Mine,1
MOIL Dongri Buzurg Mine,21.55,79.6833,High Grade Manganese Mine,1
MOIL Chikla Mine,21.56,79.75,Manganese Mine,1
Balaghat Urban Settlement,21.8047,80.1849,Urban Core,0
Wainganga River Basin,21.82,80.165,Water Body / River Alluvium,0
Lalbarra Cropland,21.93,80.05,Agricultural Plain,0
Waraseoni Farmland,21.75,80.05,Agriculture,0
Kanha Buffer Forest Reserve,22.05,80.35,Dense Forest Canopy,0
Dhuti Reservoir Open Water,21.92,80.19,Open Water Reservoir,0
Gangulpara Forest Zone,21.86,80.26,Forest Cover,0
Kirnapur Plain,21.65,80.3,Agricultural Land,0
Baihar Plateau Laterite,22.1,80.55,Lateritic Grassland,0
Lamta Rural Plain,22.12,80.22,Fallow Land,0
Balaghat Infrastructure Depot,21.815,80.192,Industrial Infrastructure,0
Katangi Agricultural Basin,21.78,79.8,Alluvial Soil,0
